branch_id,diameter_mean_mm,diameter_std_mm,diameter_min_mm,diameter_max_mm,length_mm,num_points,volume_mm3,surface_area_mm2
935,3.810299736410446,0.6193334309224382,3.117187976837158,4.880874606036668,3.8171879649162292,6,43.526295750307604,45.69330368881924
936,3.362477397230028,0.17344581251311603,3.117187976837158,3.485122107426463,1.558593988418579,3,13.840176401675455,16.464261039288285
937,3.5243038925118233,0.03918178508536063,3.485122107426463,3.563485677597184,0.7792969942092896,2,7.602205088807351,8.628319600883392
938,3.38402363142716,0.17946204617002426,3.2045615852571356,3.563485677597184,0.699999988079071,2,6.295854580760529,7.44185651931201
939,3.3398174281444555,0.15985039128238887,3.117187976837158,3.485122107426463,1.4792969822883606,3,12.959573406393481,15.521295621950923
940,3.6204638758073,0.1353417683808371,3.485122107426463,3.755805644188137,0.7792969942092896,2,8.022714169761523,8.863741713730093
941,3.3398174281444555,0.15985039128238887,3.117187976837158,3.485122107426463,1.4792969822883606,3,12.959573406393481,15.521295621950923
942,3.6204638758073,0.1353417683808371,3.485122107426463,3.755805644188137,0.7792969942092896,2,8.022714169761523,8.863741713730093
943,3.4527052428172524,0.26172029738701363,3.117187976837158,3.755805644188137,1.4792969822883606,3,13.850462034109635,16.045924641755146
944,3.485122107426463,0.0,3.485122107426463,3.485122107426463,0.7792969942092896,2,7.4341082462987895,8.532393433742152
945,3.4511321537981043,0.03398995362835833,3.4171422001697462,3.485122107426463,0.699999988079071,2,6.548036536076617,7.589435865410427
946,3.7702112736352227,0.452098640487337,3.4171422001697462,4.4083695133094585,1.4792969822883606,3,16.51492584988116,17.521485827989192
947,3.485122107426463,0.0,3.485122107426463,3.485122107426463,0.7792969942092896,2,7.4341082462987895,8.532393433742152
948,3.117187976837158,0.0,3.117187976837158,3.117187976837158,1.4792969822883606,3,11.289409790076899,14.486658968230271
949,3.117187976837158,0.0,3.117187976837158,3.117187976837158,0.699999988079071,2,5.3421231930378665,6.855054276782152
950,3.83760643603251,0.3524843286060473,3.485122107426463,4.1900907646385575,0.7792969942092896,2,9.013921054714887,9.395357449977475
951,4.432936364947148,0.24284560030858993,4.1900907646385575,4.675781965255737,0.699999988079071,2,10.803659997517212,9.748536056547719
952,3.38402363142716,0.17946204617002426,3.2045615852571356,3.563485677597184,0.699999988079071,2,6.295854580760529,7.44185651931201
953,4.221763559785035,0.2923773705321924,3.755805644188137,4.4705789151567235,2.1792969703674316,4,30.50662126433353,28.90414949328604
954,3.586473922178942,0.16933172200919544,3.4171422001697462,3.755805644188137,0.699999988079071,2,7.071690884895585,7.887067954030146
955,4.6115593396000705,0.13169163843748777,4.479867701162583,4.743250978037558,0.699999988079071,2,11.691857583199,10.141348487310546
956,3.18350903902089,0.5722966051672471,2.611212433853643,3.755805644188137,0.7792969942092896,2,6.203046790458155,7.793974151700157
957,2.8642002053454005,0.25298777149175766,2.611212433853643,3.117187976837158,1.0475226911596394,2,6.749320688143688,9.425766642356304
958,4.569828748244279,0.11601161833558356,4.4083695133094585,4.675781965255737,1.4792969822883606,3,24.263033818075225,21.237586924802855
959,4.4394742142330905,0.03110470092363249,4.4083695133094585,4.4705789151567235,0.699999988079071,2,10.835550726716745,9.762913537803769
960,2.958593964576721,0.158594012260437,2.799999952316284,3.117187976837158,0.7792969942092896,2,5.357517723785914,7.2433294841151366
961,3.181742814956734,0.38174286264045,2.799999952316284,3.563485677597184,1.0475226911596394,2,8.328819778431443,10.470764311030214
962,2.4475226673177817,0.3524772849985027,2.0950453823192787,2.799999952316284,1.0475226911596394,2,4.928409271997832,8.05452686965115
963,3.267165088503452,0.14997711166629402,3.117187976837158,3.4171422001697462,0.7792969942092896,2,6.533336723791419,7.998783712253806
964,2.8074163794791884,0.7371914567869458,1.399999976158142,3.485122107426463,8.970457997676466,10,55.52878324337117,79.11727472883445
965,3.4171422001697462,0.0,3.4171422001697462,3.4171422001697462,0.699999988079071,2,6.419689418166633,7.514688054653079
966,3.842214643209859,0.6376530579527235,3.2045615852571356,4.479867701162583,1.0475226911596394,2,12.145532664352626,12.644304175787553
967,3.0022807687867097,0.20228081647042573,2.799999952316284,3.2045615852571356,1.0475226911596394,2,7.415764496899733,9.880174531306894
968,2.525700667128043,0.7727107890870714,1.399999976158142,3.4171422001697462,5.053639346896,7,25.31966087304496,40.099226646419304
969,2.0950453823192787,0.0,2.0950453823192787,2.0950453823192787,0.699999988079071,2,2.4130970233882336,4.607245348961103
970,2.907887009555389,0.2966745757017464,2.611212433853643,3.2045615852571356,1.0475226911596394,2,6.956781695083891,9.569535091595696
